FICE,College name,State,Public/private indicator,Average Math SAT score,Average Verbal SAT score,Average Combined SAT score,Average ACT score,First quartile - Math SAT,Third quartile - Math SAT,First quartile - Verbal SAT,Third quartile - Verbal SAT,First quartile - ACT,Third quartile - ACT,Number of applications received,Number of applicants accepted,Number of new students enrolled,Number of fulltime undergraduates,Number of parttime undergraduates,In-state tuition,Out-of-state tuition,Room and board costs,Room costs,Board costs,Additional fees,Estimated book costs,Estimated personal spending,Student/faculty ratio,Instructional expenditure per student,Graduation rate
2053,University of Maine at Orono,ME,1,525,464,989,*,460,580,410,520,*,*,5260,4589,1741,7366,1795,3085,7975,4385,4385,*,*,500,*,14.5,7379,56
2055,University of Maine at Machias,ME,1,*,*,*,*,*,*,*,*,*,*,441,369,172,633,317,2700,6600,3680,1830,1850,175,600,400,15.1,5935,64
6858,Unity College,ME,2,490,475,965,*,*,*,*,*,*,*,456,409,185,458,25,8750,9550,4750,2375,2375,425,400,700,11.4,6145,44
9762,University of Southern Maine,ME,1,504,453,957,*,450,550,410,500,*,*,2335,1933,905,3556,2917,2880,8160,4219,*,*,226,500,1530,14.6,7391,*
2234,Adrian College,MI,2,*,*,*,22,*,*,*,*,19,25,1428,1097,336,1036,99,11250,11250,3750,1590,2160,100,400,1165,12.9,8735,54
2235,Albion College,MI,2,*,*,*,*,520,660,490,600,22,28,1899,1720,489,1594,32,13868,13868,4826,2426,2400,1042,450,850,13.7,11487,73
2236,Alma College,MI,2,*,*,*,26,*,*,*,*,23,29,1267,1080,385,1306,28,12572,12572,4552,2226,2326,297,400,400,15.3,9305,68
2238,Andrews University,MI,2,*,*,*,20,*,*,*,*,*,*,1130,704,322,1586,326,9996,9996,3090,1815,1275,135,900,1320,11.5,10908,46
2239,Aquinas College,MI,2,*,*,*,*,*,*,*,*,18,25,619,516,219,1251,767,11208,11208,4124,4124,*,*,350,1615,12.7,6584,65
2241,Calvin College,MI,2,567,505,1072,25,490,660,440,590,22,28,1784,1512,913,3401,136,10230,10230,3710,1570,2140,*,400,1210,14.8,7786,81
2243,Central Michigan University,MI,1,*,*,*,*,*,*,*,*,18,23,7304,6263,2539,13244,1396,2725,6660,3836,*,*,250,600,1000,20.4,6965,70
2247,Concordia College,MI,2,500,485,985,20,400,560,400,540,18,24,180,171,74,562,18,10430,10430,2960,*,*,*,400,500,11.6,*,84
2252,William Tyndale College,MI,2,*,*,*,*,*,*,*,*,*,*,260,195,139,235,307,5519,5519,2400,*,2400,255,500,500,12.9,8336,16
2259,Eastern Michigan University,MI,1,465,431,896,21,355,500,402,551,18,24,6693,5423,2242,13142,6421,2482,6360,4031,4031,*,233,600,1200,20.6,5955,49
2260,Ferris State University,MI,1,*,*,*,*,*,*,*,*,16,20,8671,5855,3395,8996,1901,3412,6911,4171,4171,*,*,590,1082,18.2,6467,57
2268,Grand Valley State University,MI,1,*,*,*,23,*,*,*,*,20,25,5165,3887,1561,8234,2619,2422,6108,3800,3800,*,120,500,1000,20.6,5063,57
2272,Hillsdale College,MI,2,550,520,1070,24,490,600,470,580,21,26,920,745,347,1133,42,11090,11090,4700,2600,2100,210,400,750,12,12639,79
2273,Hope College,MI,2,*,*,*,*,490,660,430,570,22,28,1712,1483,624,2505,208,12275,12275,4341,1980,2361,84,465,1100,12.5,9284,72
2275,Kalamazoo College,MI,2,626,575,1201,27,570,690,520,650,25,30,1224,1101,338,1218,*,16179,16179,5094,2667,2427,70,510,780,12.4,13207,74
2279,Lawrence Technological University,MI,2,*,*,*,22,*,*,*,*,19,25,867,695,312,2176,2063,6759,6759,2250,*,2250,90,700,*,15.8,4727,45
2282,Madonna University,MI,2,*,*,*,*,*,*,*,*,18,22,440,391,231,1367,2662,5040,5040,4152,2074,2078,40,395,1155,14.7,5518,57
2284,Marygrove College,MI,2,*,*,*,*,*,*,*,*,*,*,*,177,125,602,488,8094,8094,3960,1100,880,48,566,*,10.6,5889,23
2290,Michigan State University,MI,1,524,461,982,23,450,590,400,520,21,25,18114,15096,6180,26640,4120,4103,10658,3734,1646,2088,524,504,600,14,10520,71
2292,Michigan Technological University,MI,1,620,512,1132,26,550,690,440,580,23,28,2618,2288,1032,5524,414,3510,8127,3978,1836,2142,126,900,1200,17,7473,65
2293,Lake Superior State University,MI,1,*,*,*,20,*,*,*,*,*,*,1406,1169,522,2432,592,3312,6456,4186,1625,2561,*,500,600,19.9,4310,51
2301,Northern Michigan University,MI,1,*,*,*,*,*,*,*,*,18,23,4519,3844,1432,6261,1634,2076,3880,3908,*,*,50,400,1165,22,6886,51
2307,Oakland University,MI,1,*,*,*,23,*,*,*,*,19,25,3041,2581,1173,6441,3982,3123,9114,4030,*,*,230,400,650,19.7,6637,53
2308,Olivet College,MI,2,*,*,*,*,*,*,*,*,*,*,620,565,296,766,58,10500,10500,3500,1600,1900,*,550,500,16,6395,51
2314,Saginaw Valley State University,MI,1,*,*,*,20,*,*,*,*,*,*,1549,1349,687,3598,2147,2674,5673,3650,3650,*,217,550,900,18.2,5391,40
2316,Siena Heights College,MI,2,*,*,*,21,*,*,*,*,17,22,464,419,183,686,287,9240,9240,3880,1940,1940,*,475,1090,7.2,9431,47
2318,Spring Arbor College,MI,2,*,*,*,21,*,*,*,*,18,24,372,362,181,1501,353,8600,8600,3550,1980,1570,106,385,665,15.4,10938,49
2323,University of Detroit Mercy,MI,2,498,439,937,21,400,600,370,510,18,25,927,731,415,2149,2217,11130,11130,3996,1926,2070,100,600,2166,13.5,10891,51
2326,University of Michigan at Dearborn,MI,1,*,*,*,24,*,*,*,*,21,27,1796,1303,882,3493,3116,3440,10116,*,*,*,*,466,1862,18,6768,63
2327,University of Michigan at Flint,MI,1,*,*,*,*,*,*,*,*,19,24,970,877,551,3105,2944,2916,9534,*,*,*,80,500,1000,17.7,5955,64
2329,Wayne State University,MI,1,*,*,*,21,*,*,*,*,17,24,4219,3098,1543,9778,10455,3271,7162,3271,*,3271,100,468,*,10.9,10538,41
2330,Western Michigan University,MI,1,*,*,*,23,*,*,*,*,20,25,9167,7191,2738,15739,4278,2785,6940,4100,1675,2425,455,500,1700,24.7,5983,55
4673,Baker College of Flint,MI,2,*,*,*,*,*,*,*,*,*,*,1754,1754,1171,2805,1342,5760,5960,*,*,*,*,600,*,38.2,2589,*
6771,Center for Creative Studies,MI,2,470,450,*,21,430,430,400,500,19,23,601,396,203,525,323,11230,11230,6643,3843,2800,130,2340,620,6.8,13025,47
8759,Northwood University,MI,2,370,450,820,20,*,*,*,*,*,*,1093,998,285,1650,5180,9450,9450,4385,2600,1785,215,600,*,91.8,5568,35
9092,University of Michigan at Ann Arbor,MI,1,634,543,1177,27,580,700,490,600,25,30,19152,12940,4893,22045,1339,5040,15732,4659,*,*,175,476,1600,11.5,14847,87
2334,Augsburg College,MN,2,580,460,1040,22,400,530,350,470,18,23,662,513,257,2074,726,11902,11902,4372,4372,*,112,540,950,12.8,7836,58
2336,Bemidji State University,MN,1,*,*,*,*,*,*,*,*,18,23,1208,877,546,3796,824,2133,4425,2700,2700,*,382,660,1800,19.6,3752,46
2340,Carleton College,MN,2,*,*,*,*,610,710,560,670,27,31,2694,1579,489,1870,12,19292,19292,3957,1623,2334,126,550,550,10.4,17960,91
2341,College of Saint Benedict,MN,2,526,484,1010,23,430,610,420,550,21,26,938,864,511,1715,103,12247,12247,4221,1971,2250,88,500,600,13.1,8847,72
2342,College of Saint Catherine,MN,2,469,482,951,22,420,550,420,550,20,25,511,411,186,1692,562,12224,12224,4440,2290,2150,220,450,1000,11.5,7315,77
2343,College of St. Scholastica,MN,2,487,443,930,23,*,*,*,*,20,25,672,596,278,1350,275,11844,11844,3696,*,*,75,450,1146,11.6,8996,72
2345,University of St. Thomas,MN,2,530,464,994,23,470,590,400,530,20,26,2057,1807,828,4106,982,11712,11712,4037,1716,2321,36,500,800,13.8,8546,89
2346,Concordia College-Moorhead,MN,2,541,490,910,24,*,*,*,*,*,*,2007,1808,829,2917,82,10110,10110,3165,1760,1405,100,450,800,13.4,8129,69
2347,Concordia College at St. Paul,MN,2,*,*,*,*,*,*,*,*,17,23,281,266,139,1049,181,10500,10500,3750,*,*,*,450,950,12.8,6955,45
2353,Gustavus Adolphus College,MN,2,585,520,1105,25,520,660,450,590,22,28,1709,1385,634,2281,50,14125,14125,3600,3600,*,35,400,700,12.5,9907,80
2354,Hamline University,MN,2,575,535,1110,25,520,620,460,610,22,28,1006,825,328,1362,102,13252,13252,4194,2026,2168,156,450,550,13,10296,65
2358,Macalester College,MN,2,*,*,*,*,560,690,560,660,27,31,2939,1496,452,1723,113,15909,15909,4772,2480,2292,101,500,700,11.9,14213,77
2360,Mankato State University,MN,1,*,*,*,*,*,*,*,*,17,24,3073,2672,1547,9649,1792,2600,4300,2643,2643,*,300,450,1660,19,5801,68
2367,Moorhead State University,MN,1,*,*,*,22,*,*,*,*,*,*,2442,2164,1189,5983,1075,2134,4426,2664,2664,*,279,600,1000,18.1,4795,60
2371,Northwestern College,MN,2,488,456,944,22,410,590,420,530,19,25,699,601,352,1209,33,11328,11328,3003,1095,1908,*,400,1885,14.5,9672,*
2375,Southwest State University,MN,1,*,*,*,20,*,*,*,*,18,22,1047,938,511,2091,546,2285,4285,2750,2750,*,365,600,1800,16.5,6591,51
2377,Saint Cloud State University,MN,1,*,*,*,*,*,*,*,*,18,23,3971,3306,1921,11493,2206,2270,4259,2625,1704,921,255,350,1884,18.9,4629,58
2379,Saint John's University,MN,2,555,465,1020,24,500,620,410,520,21,26,933,800,444,1691,72,12247,12247,4081,2160,1921,88,500,600,12,9853,70
2380,Saint Mary's College of Minnesota,MN,2,*,*,*,21,*,*,*,*,18,24,876,802,367,1263,118,10800,10800,3600,1700,1900,100,400,820,18.8,5081,78
2382,Saint Olaf College,MN,2,580,520,1100,26,520,650,460,590,23,28,2248,1673,745,2888,105,14350,14350,3750,2050,1700,*,550,550,10,12502,83
2388,University of Minnesota at Duluth,MN,1,*,*,*,22,*,*,*,*,20,24,4192,3126,1656,5887,1254,2994,8828,3474,*,*,310,753,2610,19,6393,53
2389,University of Minnesota at Morris,MN,1,650,550,1200,26,550,750,450,650,23,29,1458,874,588,1846,154,3330,9843,3180,1365,1755,315,600,1500,14.6,6716,51
2394,Winona State University,MN,1,490,460,950,22,430,575,400,550,21,26,3325,2047,1301,5800,872,2200,4200,2700,2700,*,400,300,1200,20.2,5318,58
3969,University of Minnesota Twin Cities,MN,1,568,484,1052,23,500,650,420,550,20,26,11054,6397,3524,16502,21836,3171,8949,3744,1498,2246,414,714,2910,12.2,16122,45
9058,Bethel College,MN,2,*,*,*,*,*,*,*,*,*,*,856,698,310,1617,102,11050,11050,4000,1780,2220,*,*,*,12.1,10324,68
2449,Avila College,MO,2,450,450,900,22,370,560,360,530,19,26,373,298,86,651,490,8950,8950,3800,3800,*,80,500,*,10.6,6639,54
2453,Central Methodist College,MO,2,*,*,*,*,*,*,*,*,18,23,633,504,210,920,148,7780,7780,3370,1820,1550,270,600,1300,15.1,6850,49
2454,Central Missouri State University,MO,1,*,*,*,21,*,*,*,*,18,22,4681,4101,1436,8094,1596,2310,4620,3288,1210,2078,*,300,2250,19.7,5501,50
2456,Columbia College,MO,2,*,*,*,20,*,*,*,*,*,*,314,158,132,690,5346,8294,8294,3700,1372,2328,45,400,900,15.3,5015,37
2460,Culver-Stockton College,MO,2,*,*,*,22,*,*,*,*,19,24,1576,1110,274,992,112,8000,8000,3700,*,*,*,400,500,14.1,5807,51
2461,Drury College,MO,2,*,*,*,25,*,*,*,*,22,27,700,650,314,1065,48,8730,8730,3523,1824,1699,272,500,750,13.2,9303,67
2464,Fontbonne College,MO,2,*,*,*,*,*,*,*,*,18,20,291,245,126,981,337,8390,8390,4100,*,*,150,350,1500,21.5,4607,62
2473,Kansas City Art Institute,MO,2,454,465,919,23,*,*,*,*,*,*,639,427,182,527,32,6572,6572,*,*,*,336,1510,1695,9.4,10396,58
2479,Lincoln University,MO,1,*,*,*,18,*,*,*,*,*,*,1400,1396,688,2019,1287,1800,3600,2728,1112,1616,110,*,*,14.4,5363,*
2480,Lindenwood College,MO,2,435,435,870,22,400,500,400,500,19,23,810,484,356,2155,191,9200,9200,4800,2400,2400,200,1000,4200,24.1,3480,100
2482,Maryville University,MO,2,506,457,963,24,430,590,400,500,21,27,549,397,169,1343,1751,9250,9250,4550,4550,*,*,425,1350,13.1,5925,61
2488,Missouri Southern State College,MO,1,*,*,*,*,*,*,*,*,18,24,1576,1326,913,3689,2200,1920,3840,2852,*,*,86,200,400,20.3,4172,100
2489,Missouri Valley College,MO,2,400,400,800,18,300,500,300,500,16,20,1310,983,316,1057,175,8550,8550,5050,2525,2525,100,400,900,17.4,4333,27
2490,Missouri Western State College,MO,1,*,*,*,19,*,*,*,*,17,21,1887,1870,848,3615,1446,1998,3900,2611,1307,1304,128,500,2000,19,4602,40
2495,Northeast Missouri State University,MO,1,*,*,*,26,*,*,*,*,23,28,6040,4577,1620,5640,266,2704,4856,3416,3080,*,118,400,1100,15.7,6601,76
2496,Northwest Missouri State University,MO,1,*,*,*,*,*,*,*,*,18,24,2729,2535,1257,4787,472,2130,3735,3136,3136,*,67,250,1630,21.7,5284,54
2498,Park College,MO,2,*,*,*,*,400,440,380,420,18,24,270,225,65,3440,4103,3750,3750,3900,*,*,*,700,800,18.4,3019,49
2499,Rockhurst College,MO,2,*,*,*,*,400,600,400,500,22,27,935,858,345,1127,754,9490,9490,4100,4100,*,270,500,1500,10.7,7519,79
2500,College of the Ozarks,MO,2,*,*,*,21,*,*,*,*,19,22,3258,338,326,1277,195,*,*,1900,*,*,120,600,500,14.3,9192,87
2501,Southeast Missouri State University,MO,1,*,*,*,*,*,*,*,*,19,24,2281,1870,1408,6553,1246,2550,4680,3540,2120,1420,120,200,2150,17.1,5916,45
2502,Southwest Baptist University,MO,2,*,*,*,23,*,*,*,*,17,25,1093,1093,642,1770,967,7070,7070,2500,1170,1330,152,400,1000,15.9,4718,71
2503,Southwest Missouri State University,MO,1,*,*,*,22,*,*,*,*,*,*,6118,5254,3204,13131,3374,2370,4740,2590,880,1710,166,500,1360,19.9,4632,56
2506,Saint Louis University,MO,2,*,*,*,*,480,620,420,550,21,27,3294,2855,956,4576,1140,11690,11690,4730,2300,2430,80,800,6800,4.6,18367,67
2512,Stephens College,MO,2,474,426,900,21,380,510,360,480,19,23,450,405,194,614,388,13900,13900,5200,2400,2800,*,450,2150,10.9,9995,59
2516,University of Missouri at Columbia,MO,1,564,502,1066,25,470,620,430,570,22,28,6574,4637,2940,14782,1583,3030,9057,3485,3485,*,414,600,1983,12.7,10145,58
2517,University of Missouri at Rolla,MO,1,655,547,1202,27,590,710,480,600,25,31,1877,1826,823,3926,561,3030,9057,3600,*,*,551,700,1435,14.4,9699,49
2518,University of Missouri at Kansas City,MO,1,*,*,*,24,*,*,*,*,22,27,1901,1340,655,3416,1984,3475,9501,3685,1980,1705,*,*,*,11.6,12453,44
2519,University of Missouri at Saint Louis,MO,1,*,*,*,*,*,*,*,*,20,25,1618,1141,479,4793,4552,2424,7246,3964,*,*,348,500,4288,13.4,6433,48
2520,Washington University,MO,2,*,*,*,*,600,710,510,620,26,31,7654,5259,1254,4879,1274,18350,18350,5775,3431,2344,184,768,1512,3.9,45702,90
2521,Webster University,MO,2,494,511,1005,23,460,550,460,580,20,25,665,462,226,1739,1550,9160,9160,4340,2100,2240,50,500,500,20.6,6951,48
2523,Westminster College,MO,2,520,480,1000,24,330,660,360,600,19,29,662,553,184,665,37,10720,10720,4050,1870,2180,200,600,1650,12.5,7925,62
2524,William Jewell College,MO,2,550,510,1060,24,490,600,440,570,21,27,663,547,315,1279,75,10060,10060,2970,1780,1190,256,500,2600,11.2,7885,59
2525,William Woods University,MO,2,482,459,941,21,430,550,380,520,19,24,469,435,227,851,120,10535,10535,4365,2250,2115,140,550,3700,12.9,7438,52
7540,Missouri Baptist College,MO,2,*,*,*,20,*,*,*,*,12,22,308,*,110,606,1142,5780,5780,2650,2650,*,180,*,*,17.9,3493,32
9089,Hannibal-LaGrange College,MO,2,*,*,*,20,*,*,*,*,*,*,233,201,169,493,382,6050,6050,2510,2510,*,260,500,4680,11.9,5736,*
2396,Alcorn State University,MS,1,*,*,*,18,*,*,*,*,*,*,2928,1853,481,2326,235,4474,6616,*,*,*,*,600,1035,14.1,3913,35
2397,Belhaven College,MS,2,455,467,922,23,*,*,*,*,*,*,248,197,121,736,347,7600,7600,2805,2805,*,110,600,725,15.8,5160,*
2398,Blue Mountain College,MS,2,*,*,*,19,*,*,*,*,15,22,75,75,47,263,127,3660,3660,2090,690,1400,272,500,2310,11.3,5478,66
2403,Delta State University,MS,1,*,*,*,*,*,*,*,*,17,22,967,945,459,2806,538,1812,4528,1880,1880,*,482,500,1200,17.1,5113,58
2410,Jackson State University,MS,1,*,*,*,*,*,*,*,*,*,*,4799,3278,1561,4786,669,2230,4190,2446,1220,1226,65,300,*,15.4,6358,41
2414,Millsaps College,MS,2,570,550,1120,26,490,630,450,580,23,29,905,834,319,1073,179,11320,11320,4402,2454,2048,584,550,1350,12.7,11218,58
2415,Mississippi College,MS,2,*,*,*,23,*,*,*,*,19,27,594,385,307,1695,721,5580,5580,2830,1260,1210,308,600,700,16.5,6170,61
2422,Mississippi University for Women,MS,1,*,*,*,23,370,530,380,490,19,26,480,405,380,1673,1014,2244,4386,2217,*,*,*,600,1500,15.8,5704,63
2423,Mississippi State University,MS,1,*,*,*,23,*,*,*,*,19,27,4255,3277,1609,10094,1621,4946,9866,3084,1684,1400,477,480,1479,15.9,6223,53
2424,Mississippi Valley State University,MS,1,*,*,*,16,*,*,*,*,*,*,2800,1090,580,2124,199,2164,4306,2100,1025,1075,213,275,1200,18.6,4955,56
2433,Rust College,MS,2,*,*,*,16,*,*,*,*,*,*,1328,673,282,1006,174,4000,4000,2048,998,1050,268,225,*,19.6,5103,49
2439,Tougaloo College,MS,2,*,*,*,*,*,*,*,*,15,20,3280,578,311,1120,33,5010,5010,2570,*,*,500,500,800,14.5,6481,53
2440,University of Mississippi,MS,1,*,*,*,*,*,*,*,*,20,25,3844,3383,1669,7524,804,1996,4916,3810,1560,2250,548,600,550,20.3,6971,53
2441,University of Southern Mississippi,MS,1,531,449,980,22,*,*,*,*,18,24,2850,2044,1046,9260,1387,2392,4652,2470,1120,1350,*,500,500,18.7,5917,45
2447,William Carey College,MS,2,*,*,*,20,*,*,*,*,*,*,200,165,121,1538,419,5115,5115,2520,1470,1050,100,300,700,13.6,6986,19
2526,Carroll College,MT,2,450,500,950,23,*,*,*,*,*,*,529,492,261,1093,322,8650,8650,3815,3815,*,290,390,1050,14.1,5862,58
2527,College of Great Falls,MT,2,*,*,*,*,*,*,*,*,*,*,394,394,268,700,537,5100,5100,1880,990,890,140,400,*,11.8,4957,*
2530,Montana State University-Billings,MT,1,*,*,*,*,390,530,360,470,16,22,931,912,596,2482,868,2142,5866,3300,1900,1400,60,600,2000,18.5,5105,40
2531,Montana College of Mineral Sci. & Tech.,MT,1,575,481,1056,22,430,580,390,520,20,26,572,544,320,1470,416,2013,6073,3400,1260,2140,*,550,1400,16.4,6112,74
2532,Montana State University,MT,1,520,440,960,23,450,600,390,510,20,25,3500,2836,1779,8730,993,1576,5552,3710,3710,*,648,550,2300,17.6,6324,37
2533,Montana State University - Northern,MT,1,*,*,*,*,*,*,*,*,*,*,840,840,611,1169,403,3542,5879,3570,*,*,*,550,1200,10.6,6674,*
2534,Rocky Mountain College,MT,2,444,426,870,21,*,*,*,*,16,24,560,392,270,743,118,8734,8734,3362,1966,1396,85,600,625,11.3,6422,68
2536,University of Montana,MT,1,489,457,946,22,*,*,*,*,*,*,3314,2809,1563,7754,1388,2251,6311,3957,*,*,*,550,*,21.7,5862,30
2537,Western Montana College,MT,1,*,*,*,19,*,*,*,*,*,*,376,256,256,816,1070,1935,5658,3000,*,3000,*,475,*,16.4,4489,59
2905,North Carolina A. & T. State University,NC,1,441,384,825,*,370,500,330,430,*,*,4809,3089,1429,6162,871,740,6806,1780,*,1780,627,600,1651,16.7,7090,44
2906,Appalachian State University,NC,1,519,471,990,22,470,570,420,520,19,24,7313,4664,1910,9940,1035,740,6806,2540,1420,1120,718,96,2000,18.3,5854,70
2907,University of North Carolina at Asheville,NC,1,550,504,1054,24,500,610,450,550,22,26,1757,979,394,2033,1078,608,5972,3420,1670,1750,800,600,750,13,7011,37
2908,Barton College,NC,2,444,396,840,*,360,490,330,445,*,*,771,643,229,1135,505,7420,7420,3440,1720,1720,330,500,*,13.7,5930,67
2909,Barber Scotia College,NC,2,320,280,600,*,220,370,200,330,11,18,933,933,480,704,*,4045,4045,2795,1329,1466,295,736,2100,13.5,4431,34
2910,Belmont Abbey College,NC,2,463,427,890,*,449,549,399,499,*,*,632,494,129,709,131,9000,9000,4850,4850,*,920,300,2480,13.2,7550,52
2911,Bennett College,NC,2,395,385,780,17,*,*,*,*,*,*,774,542,193,650,14,5600,5600,3095,1630,1465,1030,750,2000,12.1,*,44
2913,Campbell University,NC,2,476,439,915,*,*,*,*,*,*,*,2087,1339,657,3191,1204,7550,7550,2790,2790,*,128,600,500,21.8,3739,63
2914,Catawba College,NC,2,481,434,915,*,420,530,380,480,*,*,1083,880,291,915,80,9270,9270,4100,*,*,*,600,1860,13.5,8425,55
2918,Davidson College,NC,2,650,580,1230,29,600,700,530,630,27,31,2373,956,452,1601,6,17295,17295,5070,2650,2420,169,600,1011,12,17581,94
2920,Duke University,NC,2,687,615,1302,30,640,740,570,670,28,32,13789,3893,1583,6188,53,18590,18590,5950,2996,2954,480,625,1162,5,27206,97
2923,East Carolina University,NC,1,486,435,921,18,430,530,390,470,17,18,9274,6362,2435,13171,1687,764,7248,3240,1590,1650,793,500,1700,13.2,9002,58
2926,Elizabeth City State University,NC,1,*,*,*,*,340,440,310,400,*,*,1531,827,405,1630,143,556,5030,2648,1220,1428,584,170,*,14.1,8994,51
2927,Elon College,NC,2,483,439,922,*,430,530,390,480,*,*,3624,2786,858,2933,334,9100,9100,3883,1782,2101,150,490,1777,18.9,6329,63
2928,Fayetteville State University,NC,1,426,390,816,*,370,480,330,440,*,*,1455,1064,452,2632,617,740,6806,2550,1150,1400,636,350,766,15.1,6972,24
2929,Gardner Webb University,NC,2,445,400,845,19,*,*,*,*,*,*,1110,930,332,1603,374,8180,8180,4270,2230,2040,950,500,500,15.2,5664,29
2930,Greensboro College,NC,2,485,438,923,*,420,520,370,480,*,*,608,494,176,649,314,8330,8330,3770,*,*,200,550,1300,13,7949,39
2931,Guilford College,NC,2,530,500,1030,24,470,590,430,560,20,27,1202,1054,326,1410,299,13404,13404,5160,2456,2704,210,450,1050,15.6,9114,65
2933,High Point University,NC,2,456,423,879,*,390,520,380,470,*,*,1412,1149,347,2045,359,7550,7550,4050,2440,1610,750,600,*,17.8,4947,62
2936,Johnson C. Smith University,NC,2,*,*,*,*,310,400,290,370,*,*,1349,932,407,1236,47,5453,5453,2191,1135,1056,685,500,*,14.2,*,37
2939,Lees-McRae College,NC,2,392,365,757,*,330,450,300,420,*,*,545,529,216,620,37,3807,*,1560,702,858,458,200,625,13.2,6795,*
2941,Lenoir-Rhyne College,NC,2,482,439,921,21,420,520,390,480,18,22,979,743,259,1188,166,10100,10100,4000,1740,2260,510,400,1000,12,8539,66
2942,Livingstone College,NC,2,*,*,*,*,*,*,*,*,*,*,900,473,217,621,11,4400,4400,3400,2000,1400,800,800,900,10.4,9268,92
2944,Mars Hill College,NC,2,442,406,848,20,380,510,350,460,*,*,1056,873,385,1111,244,6950,6950,3550,1900,1650,600,600,*,11.9,6786,69
2945,Meredith College,NC,2,*,*,*,*,430,540,400,490,*,*,857,772,376,1721,470,6720,6720,3250,*,*,*,450,1520,13.9,6881,82
2946,Methodist College,NC,2,*,*,*,*,370,510,340,450,17,21,750,633,296,926,367,8850,8850,3550,2100,1450,158,500,2600,11.4,*,56
2948,Montreat-Anderson College,NC,2,443,427,870,20,375,525,350,475,17,19,263,223,103,316,20,8438,8438,3372,1446,1926,*,500,2958,11.1,11989,15
2950,North Carolina Central University,NC,1,*,*,*,*,340,430,310,410,*,*,1773,1320,559,3531,808,676,5730,3136,1568,1568,493,*,*,15.4,7302,40
2951,North Carolina Wesleyan College,NC,2,432,394,826,20,380,480,340,450,*,*,812,689,195,646,84,8242,8242,4230,1900,2330,500,600,1295,12.7,10090,52
2954,Pembroke State University,NC,1,433,385,818,*,460,450,340,420,*,*,944,774,440,2174,529,628,6360,2760,1410,1350,514,550,1498,15,6443,48
2955,Pfeiffer College,NC,2,441,390,831,*,370,500,330,440,*,*,838,651,159,654,162,8640,8640,3700,*,*,*,400,1915,12.2,7634,48
2957,Queens College,NC,2,514,491,1005,26,460,570,420,550,24,28,516,392,154,630,549,11020,11020,4970,2160,2810,50,610,1900,14,9315,58
2960,Salem College,NC,2,508,494,1002,24,450,570,430,550,*,*,335,284,132,534,216,10475,10475,6300,3275,3025,176,500,2000,11.2,9599,60
2962,Shaw University,NC,2,*,*,*,*,*,*,*,*,*,*,2533,937,620,2360,144,9192,9192,1738,649,1089,100,250,500,14.4,8078,69
2967,St. Andrews Presbyterian College,NC,2,465,450,915,*,*,*,*,*,*,*,624,599,170,612,150,10375,10375,4575,1825,2750,*,500,1050,13.8,9332,56
2968,St. Augustine's College,NC,2,406,407,813,*,*,*,*,*,*,*,3113,1786,457,1614,131,3850,3850,3200,1924,1276,*,*,*,14,*,56
2972,North Carolina State University at Raleigh,NC,1,578,493,1071,*,510,630,440,530,*,*,10634,7064,3176,16505,5481,874,8400,6540,1640,1900,710,600,1300,17.5,9670,62
2974,University of North Carolina at Chapel Hill,NC,1,594,527,1121,*,530,530,460,570,*,*,14596,5985,3331,14609,1100,874,8400,4200,2040,2160,606,550,1200,8.9,15893,83
2975,University of North Carolina at Charlotte,NC,1,491,435,926,21,440,540,390,470,19,24,5803,4441,1730,10099,3255,764,7248,3109,*,*,693,600,1900,16.8,6227,62
2976,University of North Carolina at Greensboro,NC,1,499,457,956,*,450,550,400,500,*,*,5191,4134,1500,7532,1847,931,8677,3505,1715,1790,958,600,1300,15.5,7392,53
2978,Wake Forest University,NC,2,*,*,*,*,600,700,550,650,*,*,5661,2392,903,3499,172,13850,13850,4360,4360,*,*,500,1250,4.3,41766,89
2979,Warren Wilson College,NC,2,*,*,*,*,440,580,440,570,20,26,440,311,112,466,7,10000,10000,3052,*,*,515,400,1100,11.4,9430,63
2981,Western Carolina University,NC,1,457,410,867,*,400,510,360,450,*,*,3224,2519,1057,5000,706,718,6390,2380,1142,1238,647,110,1622,14.6,6554,55
2984,University of North Carolina at Wilmington,NC,1,494,441,935,21,440,550,390,480,*,*,6071,3856,1449,6635,1145,1492,7558,3680,2100,1580,752,500,1500,19.1,6005,55
2985,Wingate College,NC,2,442,400,842,22,390,785,380,475,20,23,1239,1017,383,1207,157,7820,7820,3400,1750,1650,300,550,1550,13.9,7264,91
2986,Winston-Salem State University,NC,2,405,369,774,*,325,425,320,375,*,*,1065,801,385,2069,748,1254,6272,2762,1342,1420,*,300,*,13.5,8064,46
2989,Dickinson State University,ND,1,*,*,*,21,*,*,*,*,*,*,434,412,319,1376,237,1681,4486,2146,846,1300,176,600,2000,16.5,4525,46
2990,Jamestown College,ND,2,*,*,*,22,*,*,*,*,19,24,472,410,262,9950,71,7620,7620,3050,1700,1350,*,400,400,17,3186,54
2992,University of Mary,ND,2,*,*,*,21,*,*,*,*,18,24,659,601,342,1476,282,6490,6490,2660,1345,1510,75,500,1800,18,4460,48
2993,Mayville State University,ND,1,*,*,*,20,*,*,*,*,*,*,233,233,153,658,58,1680,4486,2516,2516,*,240,600,1900,15.7,6971,51
